term,course,level,mid_term,mid_activities,lab,final,class,city,social_status,children,health
1,NW,5,14.75,12.75,22,31.25,80.75,Dammam,0,0,0
1,NW,5,8.5,11.5,20.75,24,64.75,Safwa,0,0,1
1,NW,5,9.75,15,23,31.25,79,Jubail,0,0,0
1,NW,5,9.25,14,23.75,17.5,64.5,Saihat,1,0,0
1,NW,5,8.75,14.25,23.25,25,71.25,Dammam,0,0,0
1,NW,5,14.25,14.75,28.25,33.5,90.75,Saihat,0,0,0
1,NW,5,13.75,13.25,24.25,30.5,81.75,Al Qatif,0,0,0
1,NW,5,10,12.5,18.25,21,61.75,Al Qatif,0,0,0
1,NW,5,12,14.25,27.75,30.5,84.5,Dammam,0,0,0
1,NW,5,11.5,13.75,23.25,22.25,70.75,Jubail,0,0,0
1,NW,5,8.75,13.25,21.75,20,63.75,Dammam,0,0,0
1,NW,5,5.5,10.75,20.5,16.75,53.5,Al Qatif,0,0,0
1,NW,5,10,14.25,21.25,23,68.5,Jubail,0,0,0
1,NW,5,9.75,13.5,20.75,28.5,72.5,Al Qatif,0,0,0
1,NW,5,12.25,12.5,25.25,23.25,73.25,Al Qatif,0,0,0
1,NW,5,11.25,14,25.75,25.5,76.5,ummalsahek,0,0,0
1,NW,5,13.25,14.75,28.25,34.75,91,Ras Tanura,0,0,0
1,NW,5,8.75,12.25,22.75,24.75,68.5,Dammam,0,0,1
1,NW,5,12.5,13,21,28.25,74.75,Al Khobar,0,0,0
1,NW,5,11,14.75,25.5,18,69.25,Al Khobar,0,0,0
1,NW,5,12.75,12,21.5,19.5,65.75,Al Qatif,1,1,0
1,NW,5,12.5,14.5,28.5,33.5,89,Jubail,0,0,0
1,NW,5,12.5,13,23.25,26.75,75.5,Al Qatif,0,0,0
1,NW,5,12.5,14.25,11.75,24,62.5,Ras Tanura,0,0,0
1,NW,5,11.5,12.5,22,23.75,69.75,Dammam,0,0,0
1,NW,5,13.5,14.75,28.75,37,94,Jubail,0,0,0
1,NW,5,10.25,12.75,24.25,26.5,73.75,Al Qatif,0,0,0
1,NW,5,11.75,12.75,24.25,27.75,76.5,Dammam,0,0,0
1,NW,5,8.75,13,25.25,26.5,73.5,Jubail,0,0,0
1,NW,5,7,13.5,20,21.5,62,Al Qatif,0,0,0
1,NW,5,8.75,12.75,24,13.5,59,Jubail,0,0,0
1,NW,5,11.5,14.25,25.5,19,70.25,Jubail,0,0,0
1,NW,5,11.25,13,22,28.25,74.5,Al Khobar,0,0,0
1,NW,5,11.5,12.75,24.25,19,67.5,Al Qatif,1,0,0
1,DH,5,11.25,14.25,25.5,37.5,88.5,ummalsahek,0,0,0
1,DH,5,14.25,14,28.75,36.75,93.75,Ras Tanura,0,0,0
1,DH,5,12.25,13.75,25,33.75,84.75,Al Qatif,1,1,0
1,DH,5,13.5,14.25,28,32.75,88.5,Jubail,0,0,0
1,DH,5,6.25,14.5,20,20.5,61.25,Dammam,0,0,0
1,DH,5,8.75,13.75,23.75,17.25,63.5,Saihat,1,0,0
1,DH,5,9,14,23.25,27.25,73.5,Al Qatif,0,0,0
1,DH,5,11,13,26,32.25,82.25,Dammam,0,0,0
1,DH,5,8.5,14.25,27,35.75,85.5,Saihat,0,0,0
1,DH,5,6.25,14,27.5,35.75,83.5,Al Qatif,0,0,0
1,DH,5,10.5,13.75,23.25,31.75,79.25,Al Qatif,0,0,0
1,DH,5,8.75,14.25,24.5,28,75.5,Jubail,0,0,0
1,DH,5,5.75,14.5,19.75,21.25,61.25,Al Qatif,0,0,0
1,DH,5,14,14,26.75,29,83.75,Dammam,0,0,0
1,DH,5,9.25,14.75,26.75,24.25,75,Jubail,0,0,0
1,DH,5,8.5,13.5,23,27,72,Jubail,0,0,0
1,DH,5,11.25,13.75,25,28.75,78.75,Jubail,0,0,0
1,DH,5,2.25,12,9.5,13,36.75,Al Qatif,0,0,0
1,DH,5,5.5,13.75,19.5,23.25,62,Jubail,0,0,0
1,DH,5,4.5,13.75,21,24.25,63.5,Al Qatif,0,0,0
1,DH,5,8.25,14,21.5,25.5,69.25,Al Qatif,1,0,0
1,DH,5,7.5,14.25,22.25,25.75,69.75,Al Qatif,0,0,0
1,DH,5,6,13.75,21.75,18,59.5,Al Khobar,0,0,0
1,DH,5,9.5,13.75,22.5,26,71.75,Al Khobar,0,0,0
1,DH,5,10.5,14,22.5,32.25,79.25,Dammam,0,0,1
1,DH,5,12,12.5,29.5,22.25,76.25,Al Qatif,0,0,0
1,DH,5,10,14.5,22.5,31.5,78.5,Ras Tanura,0,0,0
1,DH,5,11.25,11.75,19.25,26.5,68.75,Dammam,0,0,0
1,DH,5,14.5,13,29,35.25,91.75,Jubail,0,0,0
1,DH,5,11,14,24.5,32,81.5,Dammam,0,0,0
1,DH,5,4.75,12,23.75,25.25,65.75,Al Khobar,0,0,0
1,IS,3,23,34.5,0,36.25,93.75,Jubail,0,0,0
1,IS,3,13.5,33.5,0,19.5,66.5,Dammam,0,0,0
1,IS,3,12.75,33,0,23.5,69.25,Jubail,0,0,0
